iter	Passed	Remaining
155	1016	5497
156	1021	5483
157	1026	5468
158	1031	5453
159	1036	5440
160	1041	5427
161	1046	5412
162	1051	5399
163	1057	5389
164	1062	5374
165	1067	5361
166	1071	5346
167	1079	5343
168	1084	5330
169	1088	5316
170	1093	5299
171	1103	5311
172	1112	5318
173	1123	5332
174	1128	5319
175	1133	5306
176	1138	5295
177	1143	5279
178	1148	5269
179	1153	5256
180	1159	5244
181	1164	5235
182	1175	5249
183	1207	5356
184	1239	5458
185	1257	5501
186	1285	5590
187	1302	5624
188	1326	5693
189	1338	5707
190	1350	5721
191	1366	5749
192	1395	5834
193	1405	5838
194	1410	5822
195	1414	5804
196	1420	5789
197	1427	5780
198	1432	5765
199	1437	5750
200	1443	5739
201	1448	5720
202	1453	5707
203	1458	5692
204	1463	5677
205	1469	5662
206	1473	5646
207	1478	5630
208	1486	5627
209	1497	5632
210	1509	5645
211	1514	5630
212	1519	5613
213	1523	5596
214	1529	5583
215	1533	5565
216	1537	5547
217	1543	5535
218	1549	5524
219	1553	5507
220	1558	5493
221	1563	5478
222	1568	5463
223	1572	5448
224	1577	5431
225	1581	5415
226	1586	5403
227	1591	5388
228	1596	5375
229	1603	5367
230	1609	5358
231	1614	5343
232	1618	5328
233	1623	5314
234	1627	5299
235	1633	5287
236	1638	5274
237	1643	5260
238	1647	5245
239	1651	5230
240	1655	5214
241	1660	5199
242	1665	5188
243	1670	5174
244	1674	5159
245	1679	5147
246	1683	5132
247	1695	5141
248	1706	5147
249	1715	5145
250	1729	5160
251	1744	5178
252	1757	5189
253	1774	5211
254	1795	5244
255	1806	5251
256	1819	5261
257	1832	5271
258	1846	5282
259	1864	5307
260	1882	5329
261	1907	5373
262	1921	5385
263	1938	5403
264	1959	5434
265	1976	5454
266	1995	5477
267	2002	5469
268	2011	5464
269	2020	5462
270	2027	5454
271	2032	5439
272	2036	5424
273	2041	5410
274	2046	5394
275	2051	5380
276	2055	5364
277	2059	5349
278	2063	5333
279	2068	5318
280	2073	5304
281	2077	5289
282	2090	5296
283	2100	5294
284	2111	5298
285	2117	5286
286	2122	5271
287	2129	5264
288	2136	5257
289	2142	5245
290	2147	5232
291	2152	5218
292	2156	5204
293	2161	5191
294	2167	5179
295	2172	5167
296	2177	5153
297	2182	5140
298	2186	5126
299	2192	5115
300	2196	5101
301	2201	5088
302	2208	5081
303	2213	5068
304	2218	5055
305	2223	5043
306	2228	5029
307	2233	5017
308	2237	5004
309	2243	4993
310	2247	4979
311	2252	4967
312	2257	4955
313	2266	4952
314	2273	4943
315	2279	4934
316	2284	4922
317	2292	4916
318	2298	4907
319	2305	4899
320	2310	4887
321	2318	4880
322	2324	4871
323	2331	4864
324	2338	4856
325	2343	4844
326	2349	4835
327	2356	4828
328	2361	4817
329	2368	4807
330	2373	4798
331	2379	4788
332	2385	4778
333	2389	4765
334	2394	4753
335	2398	4740
336	2403	4727
337	2410	4720
338	2414	4708
339	2419	4696
340	2423	4684
341	2428	4671
342	2432	4659
343	2437	4648
344	2441	4636
345	2447	4626
346	2452	4614
347	2456	4603
348	2461	4591
349	2465	4579
350	2470	4568
351	2475	4557
352	2482	4550
353	2488	4541
354	2493	4530
355	2497	4518
356	2502	4507
357	2510	4502
358	2524	4507
359	2532	4501
360	2536	4489
361	2540	4477
362	2545	4466
363	2549	4454
364	2553	4442
365	2558	4431
366	2562	4420
367	2566	4406
368	2571	4396
369	2575	4385
370	2579	4374
371	2584	4362
372	2591	4355
373	2595	4343
374	2599	4332
375	2603	4321
376	2607	4308
377	2611	4297
378	2615	4285
379	2619	4274
380	2624	4263
381	2628	4252
382	2633	4242
383	2637	4231
384	2641	4220
385	2646	4209
386	2650	4198
387	2655	4188
388	2659	4177
389	2664	4167
390	2668	4156
391	2673	4146
392	2677	4135
393	2681	4124
394	2686	4114
395	2690	4103
396	2695	4093
397	2699	4082
398	2707	4078
399	2716	4074
400	2722	4067
401	2727	4057
402	2731	4047
403	2736	4037
404	2741	4027
405	2745	4016
406	2750	4007
407	2757	4000
408	2762	3991
409	2766	3980
410	2771	3971
411	2776	3961
412	2781	3952
413	2785	3943
414	2790	3933
415	2801	3933
416	2820	3943
417	2836	3949
418	2847	3948
419	2860	3949
420	2873	3952
421	2893	3962
422	2912	3972
423	2934	3986
424	2946	3986
425	2959	3987
426	2971	3987
427	2983	3987
428	2996	3988
429	3010	3990
430	3022	3990
431	3032	3987
432	3043	3985
433	3052	3980
434	3070	3987
435	3089	3996
436	3107	4003
437	3118	4001
438	3128	3997
439	3140	3997
440	3154	3998
441	3169	4001
442	3180	3999
443	3190	3995
444	3204	3996
445	3215	3993
446	3222	3986
447	3226	3975
448	3230	3964
449	3234	3953
450	3240	3944
451	3244	3933
452	3249	3923
453	3253	3912
454	3258	3902
455	3262	3892
456	3269	3884
457	3273	3874
458	3278	3864
459	3282	3853
460	3287	3843
461	3291	3833
462	3296	3823
463	3300	3812
464	3307	3805
465	3311	3794
466	3316	3785
467	3322	3777
468	3330	3770
469	3339	3765
470	3348	3761
471	3354	3752
472	3358	3742
473	3364	3733
474	3368	3722
475	3372	3712
476	3376	3702
477	3381	3692
478	3385	3682
479	3389	3672
480	3393	3662
481	3398	3652
482	3402	3642
483	3410	3635
484	3417	3628
485	3429	3627
486	3433	3617
487	3446	3616
488	3450	3606
489	3460	3601
490	3472	3599
491	3484	3597
492	3489	3588
493	3493	3577
494	3497	3568
495	3502	3558
496	3508	3550
497	3512	3540
498	3516	3530
499	3521	3521
500	3524	3510
501	3532	3504
502	3536	3494
503	3541	3485
504	3545	3475
505	3550	3466
506	3554	3456
507	3559	3447
508	3563	3437
509	3568	3428
510	3572	3419
511	3577	3409
512	3581	3399
513	3586	3390
514	3590	3381
515	3596	3373
516	3600	3363
517	3605	3354
518	3609	3345
519	3614	3336
520	3618	3326
521	3623	3317
522	3627	3308
523	3632	3300
524	3637	3290
525	3642	3282
526	3647	3273
527	3654	3267
528	3660	3259
529	3667	3252
530	3677	3248
531	3686	3243
532	3692	3235
533	3696	3225
534	3701	3216
535	3705	3208
536	3709	3198
537	3714	3189
538	3718	3180
539	3722	3171
540	3727	3162
541	3732	3153
542	3736	3144
543	3741	3136
544	3745	3126
545	3749	3118
546	3754	3109
547	3763	3103
548	3769	3096
549	3773	3087
550	3781	3081
551	3788	3074
552	3807	3077
553	3829	3082
554	3844	3082
555	3864	3085
556	3875	3082
557	3888	3080
558	3903	3079
559	3919	3079
560	3940	3083
561	3946	3076
562	3953	3068
563	3969	3068
564	3979	3064
565	3994	3063
566	4001	3055
567	4010	3050
568	4019	3044
569	4028	3039
570	4039	3034
571	4045	3027
572	4056	3023
573	4063	3015
574	4069	3008
575	4083	3006
576	4088	2997
577	4103	2995
578	4112	2990
579	4123	2985
580	4129	2978
581	4145	2977
582	4163	2977
583	4179	2977
584	4191	2973
585	4205	2971
586	4216	2966
587	4228	2962
588	4261	2973
589	4273	2970
590	4292	2970
591	4309	2970
592	4319	2964
593	4330	2959
594	4342	2955
595	4357	2953
596	4372	2951
597	4392	2952
598	4412	2953
599	4430	2953
600	4440	2948
601	4454	2944
602	4465	2940
603	4479	2936
604	4495	2935
605	4505	2929
606	4516	2923
607	4528	2919
608	4539	2914
609	4550	2909
610	4560	2903
611	4572	2898
612	4591	2898
613	4599	2891
614	4615	2889
615	4625	2883
616	4638	2879
617	4650	2874
618	4668	2873
619	4678	2867
620	4692	2863
621	4701	2857
622	4714	2853
623	4734	2852
624	4753	2851
625	4769	2849
626	4781	2844
627	4790	2837
628	4800	2831
629	4813	2826
630	4824	2821
631	4836	2816
632	4847	2810
633	4858	2804
634	4871	2800
635	4888	2797
636	4902	2793
637	4913	2788
638	4925	2782
639	4936	2777
640	4950	2772
641	4960	2766
642	4971	2760
643	4986	2756
644	4999	2751
645	5014	2747
646	5032	2745
647	5043	2739
648	5053	2733
649	5066	2728
650	5078	2722
651	5094	2719
652	5104	2712
653	5117	2707
654	5130	2702
655	5145	2698
656	5158	2693
657	5178	2691
658	5193	2687
659	5213	2685
660	5231	2683
661	5243	2677
662	5256	2671
663	5271	2667
664	5284	2661
665	5299	2657
666	5311	2651
667	5325	2646
668	5335	2639
669	5349	2634
670	5367	2631
671	5378	2625
672	5391	2619
673	5404	2614
674	5416	2608
675	5429	2602
676	5444	2597
677	5456	2591
678	5473	2587
679	5486	2581
680	5501	2577
681	5518	2573
682	5531	2567
683	5544	2561
684	5575	2563
685	5598	2562
686	5607	2554
687	5621	2549
688	5636	2544
689	5648	2537
690	5668	2534
691	5683	2529
692	5704	2526
693	5721	2522
694	5733	2516
695	5769	2519
696	5794	2518
697	5820	2518
698	5837	2513
699	5851	2507
700	5862	2500
701	5876	2494
702	5890	2488
703	5907	2483
704	5923	2478
705	5941	2474
706	5953	2467
707	5967	2461
708	5981	2454
709	5995	2448
710	6013	2444
711	6029	2439
712	6040	2431
713	6056	2425
714	6068	2418
715	6082	2412
716	6095	2405
717	6108	2399
718	6124	2393
719	6137	2386
720	6149	2379
721	6165	2374
722	6179	2367
723	6192	2360
724	6206	2354
725	6222	2348
726	6234	2341
727	6249	2335
728	6272	2331
729	6298	2329
730	6313	2323
731	6336	2319
732	6346	2311
733	6352	2302
734	6362	2293
735	6372	2285
736	6381	2277
737	6391	2268
738	6401	2260
739	6408	2251
740	6413	2241
741	6421	2232
742	6433	2225
743	6443	2217
744	6453	2208
745	6459	2199
746	6469	2191
747	6481	2183
748	6497	2177
749	6516	2172
750	6523	2162
751	6533	2154
752	6544	2146
753	6549	2136
754	6555	2127
755	6561	2117
756	6571	2109
757	6577	2100
758	6585	2091
759	6598	2083
760	6611	2076
761	6617	2066
762	6622	2057
763	6628	2047
764	6633	2037
765	6644	2029
766	6650	2020
767	6659	2011
768	6674	2004
769	6679	1995
770	6684	1985
771	6697	1978
772	6707	1969
773	6719	1962
774	6730	1953
775	6736	1944
776	6754	1938
777	6766	1930
778	6773	1921
779	6786	1914
780	6791	1904
781	6796	1894
782	6808	1886
783	6822	1879
784	6829	1870
785	6843	1863
786	6848	1853
787	6853	1843
788	6862	1835
789	6868	1825
790	6881	1818
791	6886	1808
792	6897	1800
793	6903	1791
794	6908	1781
795	6913	1771
796	6925	1763
797	6929	1754
798	6942	1746
799	6954	1738
800	6964	1730
801	6976	1722
802	6981	1712
803	6992	1704
804	6998	1695
805	7003	1685
806	7008	1676
807	7013	1666
808	7024	1658
809	7031	1649
810	7043	1641
811	7052	1632
812	7058	1623
813	7064	1614
814	7078	1606
815	7084	1597
816	7090	1588
817	7096	1578
818	7109	1571
819	7122	1563
820	7128	1554
821	7135	1545
822	7147	1537
823	7154	1528
824	7160	1518
825	7165	1509
826	7170	1500
827	7180	1491
828	7191	1483
829	7197	1474
830	7203	1464
831	7209	1455
832	7215	1446
833	7224	1437
834	7238	1430
835	7245	1421
836	7252	1412
837	7258	1403
838	7263	1393
839	7267	1384
840	7273	1375
841	7283	1366
842	7294	1358
843	7309	1351
844	7318	1342
845	7323	1333
846	7334	1324
847	7345	1316
848	7351	1307
849	7363	1299
850	7369	1290
851	7375	1281
852	7380	1271
853	7389	1263
854	7396	1254
855	7401	1245
856	7412	1236
857	7417	1227
858	7423	1218
859	7429	1209
860	7435	1200
861	7441	1191
862	7455	1183
863	7478	1177
864	7498	1170
865	7516	1163
866	7529	1155
867	7542	1146
868	7557	1139
869	7572	1131
870	7593	1124
871	7603	1116
872	7619	1108
873	7644	1102
874	7658	1094
875	7677	1086
876	7690	1078
877	7701	1070
878	7712	1061
879	7722	1053
880	7732	1044
881	7744	1036
882	7755	1027
883	7768	1019
884	7780	1010
885	7791	1002
886	7806	994
887	7819	986
888	7833	978
889	7848	970
890	7868	962
891	7888	955
892	7904	947
893	7924	939
894	7942	931
895	7955	923
896	7969	915
897	7984	906
898	8000	898
899	8014	890
900	8025	881
901	8044	874
902	8061	865
903	8074	857
904	8092	849
905	8105	841
906	8127	833
907	8144	825
908	8157	816
909	8169	808
910	8181	799
911	8194	790
912	8226	783
913	8239	775
914	8255	766
915	8269	758
916	8288	750
917	8301	741
918	8314	732
919	8330	724
920	8344	715
921	8356	706
922	8370	698
923	8384	689
924	8395	680
925	8409	671
926	8421	663
927	8437	654
928	8452	645
929	8463	637
930	8474	628
931	8481	618
932	8494	610
933	8508	601
934	8522	592
935	8534	583
936	8544	574
937	8548	565
938	8553	555
939	8563	546
940	8574	537
941	8584	528
942	8592	519
943	8607	510
944	8612	501
945	8618	491
946	8628	482
947	8639	473
948	8650	464
949	8655	455
950	8661	446
951	8671	437
952	8678	428
953	8684	418
954	8692	409
955	8703	400
956	8713	391
957	8720	382
958	8733	373
959	8742	364
960	8754	355
961	8767	346
962	8781	337
963	8790	328
964	8800	319
965	8812	310
966	8818	300
967	8824	291
968	8830	282
969	8835	273
970	8845	264
971	8851	254
972	8855	245
973	8864	236
974	8873	227
975	8879	218
976	8886	209
977	8893	200
978	8899	190
979	8904	181
980	8912	172
981	8919	163
982	8932	154
983	8942	145
984	8956	136
985	8966	127
986	8975	118
987	8985	109
988	8992	100
989	9006	90
990	9015	81
991	9024	72
992	9037	63
993	9048	54
994	9059	45
995	9068	36
996	9078	27
997	9087	18
998	9094	9
999	9108	0
