iter	Logloss
0	0.6332027818
1	0.5843945013
2	0.536061481
3	0.4940345665
4	0.4553905521
5	0.4067017081
6	0.3657411698
7	0.3355436486
8	0.3064067922
9	0.2772367623
10	0.2525533549
11	0.2329514739
12	0.2142989444
13	0.1961589177
14	0.176083404
15	0.1620078437
16	0.1482172917
17	0.1357613746
18	0.1242825079
19	0.115960556
20	0.1068939162
21	0.09857709864
22	0.09111246469
23	0.08381829262
24	0.07690962586
25	0.07024374577
26	0.06511200043
27	0.05943554426
28	0.055239216
29	0.0511592429
30	0.04750477716
31	0.04399972174
32	0.04124941569
33	0.03822921967
34	0.03554069598
35	0.033148951
36	0.0306862573
37	0.02877214739
38	0.02683274674
39	0.02525778134
40	0.02349807182
41	0.02211552615
42	0.02066452865
43	0.01941442367
44	0.01822067816
45	0.01693600695
46	0.01590986762
47	0.01508677091
48	0.01423992414
49	0.01356530372
50	0.01282968516
51	0.01211064042
52	0.01143085421
53	0.01078781207
54	0.01023464787
55	0.00971182461
56	0.00921183496
57	0.008707422112
58	0.008305651865
59	0.007867531497
60	0.007529594291
61	0.007157859341
62	0.006786053646
63	0.006597154066
64	0.006311944743
65	0.005971636877
66	0.005752695526
67	0.005552095233
68	0.005290255431
69	0.005097591555
70	0.004912995414
71	0.004741126024
72	0.004560104138
73	0.004391021094
74	0.004236257263
75	0.004141029968
76	0.004037547209
77	0.0039063004
78	0.003787631915
79	0.003682114883
80	0.003594493167
81	0.003546306391
82	0.003459326007
83	0.00336374383
84	0.003274649642
85	0.00317632967
86	0.003081552509
87	0.003011133223
88	0.002942571578
89	0.002846154329
90	0.002797537533
91	0.002719352681
92	0.00265243413
93	0.002569181744
94	0.002506468374
95	0.002460495277
96	0.002393077579
97	0.002364882121
98	0.002306212329
99	0.002251016684
100	0.002205404481
101	0.002156159531
102	0.002126041929
103	0.002091530491
104	0.002055188923
105	0.002007188026
106	0.001982025136
107	0.001944993455
108	0.001902102864
109	0.00187079866
110	0.001849591957
111	0.001818980409
112	0.001781128338
113	0.00174761346
114	0.001711841785
115	0.001688627857
116	0.001669792507
117	0.001636105043
118	0.001604407116
119	0.001588643753
120	0.00155821323
121	0.001534964392
122	0.001516204527
123	0.001496611555
124	0.001467243252
125	0.001443029758
126	0.001418461845
127	0.001400081022
128	0.001380574285
129	0.001364855311
130	0.001350967852
131	0.00132591501
132	0.001314661195
133	0.001301789024
134	0.001289600261
135	0.001275623793
136	0.001257355677
137	0.001232475768
138	0.001221725724
139	0.001205181272
140	0.001194578267
141	0.001183919082
142	0.001170819416
143	0.001164006369
144	0.00114689399
145	0.001132943878
146	0.001121161785
147	0.001107063825
148	0.001095376868
149	0.001080719766
